
Proc ID  MPI_Rank   File #     File Pos 	 # of Bytes 	 Time(s)     I/O Op
10653      0      0    1275068416             0         9.173585  MPI_SEEK
10653      0      0    1275068416       1048576         9.173600  MPI_READ
10653      0      0     203423744             0         9.215467  MPI_SEEK
10653      0      0     203423744       1048576         9.215480  MPI_READ
10653      0      0    1277165568             0         9.225329  MPI_SEEK
10653      0      0    1277165568       1048576         9.225341  MPI_READ
10653      0      0     205520896             0         9.281635  MPI_SEEK
10653      0      0     205520896       1048576         9.281648  MPI_READ
10653      0      0    1279262720             0         9.324114  MPI_SEEK
10653      0      0    1279262720       1048576         9.324128  MPI_READ
10653      0      0     207618048             0         9.378338  MPI_SEEK
10653      0      0     207618048       1048576         9.378352  MPI_READ
10653      0      0    1281359872             0         9.440335  MPI_SEEK
10653      0      0    1281359872       1048576         9.440349  MPI_READ
10653      0      0     209715200             0         9.507235  MPI_SEEK
10653      0      0     209715200       1048576         9.507249  MPI_READ
10653      0      0    1283457024             0         9.547267  MPI_SEEK
10653      0      0    1283457024       1048576         9.547283  MPI_READ
10653      0      0     211812352             0         9.601875  MPI_SEEK
10653      0      0     211812352       1048576         9.601890  MPI_READ
10653      0      0    1285554176             0         9.611672  MPI_SEEK
10653      0      0    1285554176       1048576         9.611685  MPI_READ
10653      0      0     213909504             0         9.654903  MPI_SEEK
10653      0      0     213909504       1048576         9.654917  MPI_READ
10653      0      0    1287651328             0         9.700929  MPI_SEEK
10653      0      0    1287651328       1048576         9.700942  MPI_READ
10653      0      0     216006656             0         9.754285  MPI_SEEK
10653      0      0     216006656       1048576         9.754298  MPI_READ
10653      0      0    1289748480             0         9.811242  MPI_SEEK
10653      0      0    1289748480       1048576         9.811255  MPI_READ
10653      0      0     218103808             0         9.868358  MPI_SEEK
10653      0      0     218103808       1048576         9.868371  MPI_READ
10653      0      0    1291845632             0         9.915356  MPI_SEEK
10653      0      0    1291845632       1048576         9.915374  MPI_READ
10653      0      0     220200960             0         9.967288  MPI_SEEK
10653      0      0     220200960       1048576         9.967302  MPI_READ
10653      0      0    1293942784             0         9.977145  MPI_SEEK
10653      0      0    1293942784       1048576         9.977157  MPI_READ
10653      0      0     222298112             0        10.021436  MPI_SEEK
10653      0      0     222298112       1048576        10.021450  MPI_READ
10653      0      0    1296039936             0        10.067770  MPI_SEEK
10653      0      0    1296039936       1048576        10.067791  MPI_READ
10653      0      0     224395264             0        10.119312  MPI_SEEK
10653      0      0     224395264       1048576        10.119326  MPI_READ
10653      0      0    1298137088             0        10.182189  MPI_SEEK
10653      0      0    1298137088       1048576        10.182203  MPI_READ
10653      0      0     226492416             0        10.247958  MPI_SEEK
10653      0      0     226492416       1048576        10.247971  MPI_READ
10653      0      0    1300234240             0        10.293453  MPI_SEEK
10653      0      0    1300234240       1048576        10.293466  MPI_READ
10653      0      0     228589568             0        10.335423  MPI_SEEK
10653      0      0     228589568       1048576        10.335436  MPI_READ
10653      0      0    1302331392             0        10.345233  MPI_SEEK
10653      0      0    1302331392       1048576        10.345252  MPI_READ
10653      0      0     230686720             0        10.383438  MPI_SEEK
10653      0      0     230686720       1048576        10.383451  MPI_READ
10653      0      0    1304428544             0        10.429201  MPI_SEEK
10653      0      0    1304428544       1048576        10.429215  MPI_READ
10653      0      0     232783872             0        10.469211  MPI_SEEK
10653      0      0     232783872       1048576        10.469225  MPI_READ
10653      0      0    1306525696             0        10.530369  MPI_SEEK
10653      0      0    1306525696       1048576        10.530383  MPI_READ
10653      0      0     234881024             0        10.597229  MPI_SEEK
10653      0      0     234881024       1048576        10.597242  MPI_READ
10653      0      0    1308622848             0        10.650525  MPI_SEEK
10653      0      0    1308622848       1048576        10.650538  MPI_READ
10653      0      0     236978176             0        10.702423  MPI_SEEK
10653      0      0     236978176       1048576        10.702436  MPI_READ
10653      0      0    1310720000             0        10.712378  MPI_SEEK
10653      0      0    1310720000       1048576        10.712391  MPI_READ
10653      0      0     239075328             0        10.765058  MPI_SEEK
10653      0      0     239075328       1048576        10.765071  MPI_READ
10653      0      0    1312817152             0        10.818572  MPI_SEEK
10653      0      0    1312817152       1048576        10.818586  MPI_READ
10653      0      0     241172480             0        10.864472  MPI_SEEK
10653      0      0     241172480       1048576        10.864485  MPI_READ
10653      0      0    1314914304             0        10.931276  MPI_SEEK
10653      0      0    1314914304       1048576        10.931294  MPI_READ
10653      0      0     243269632             0        11.006656  MPI_SEEK
10653      0      0     243269632       1048576        11.006670  MPI_READ
10653      0      0    1317011456             0        11.052007  MPI_SEEK
10653      0      0    1317011456       1048576        11.052025  MPI_READ
10653      0      0     245366784             0        11.106503  MPI_SEEK
10653      0      0     245366784       1048576        11.106516  MPI_READ
10653      0      0    1319108608             0        11.116499  MPI_SEEK
10653      0      0    1319108608       1048576        11.116514  MPI_READ
10653      0      0     247463936             0        11.164876  MPI_SEEK
10653      0      0     247463936       1048576        11.164891  MPI_READ
10653      0      0    1321205760             0        11.210161  MPI_SEEK
10653      0      0    1321205760       1048576        11.210174  MPI_READ
10653      0      0     249561088             0        11.254334  MPI_SEEK
10653      0      0     249561088       1048576        11.254358  MPI_READ
10653      0      0    1323302912             0        11.335471  MPI_SEEK
10653      0      0    1323302912       1048576        11.335485  MPI_READ
10653      0      0     251658240             0        11.393993  MPI_SEEK
10653      0      0     251658240       1048576        11.394008  MPI_READ
10653      0      0    1325400064             0        11.452242  MPI_SEEK
10653      0      0    1325400064       1048576        11.452257  MPI_READ
10653      0      0     253755392             0        11.505251  MPI_SEEK
10653      0      0     253755392       1048576        11.505265  MPI_READ
10653      0      0    1327497216             0        11.515190  MPI_SEEK
10653      0      0    1327497216       1048576        11.515211  MPI_READ
10653      0      0     255852544             0        11.551837  MPI_SEEK
10653      0      0     255852544       1048576        11.551849  MPI_READ
10653      0      0    1329594368             0        11.588691  MPI_SEEK
10653      0      0    1329594368       1048576        11.588705  MPI_READ
10653      0      0     257949696             0        11.630401  MPI_SEEK
10653      0      0     257949696       1048576        11.630415  MPI_READ
10653      0      0    1331691520             0        11.689840  MPI_SEEK
10653      0      0    1331691520       1048576        11.689858  MPI_READ
10653      0      0     260046848             0        11.756677  MPI_SEEK
10653      0      0     260046848       1048576        11.756696  MPI_READ
10653      0      0    1333788672             0        11.798077  MPI_SEEK
